,USFLUX,MEANGAM,MEANGBT,MEANGBZ,MEANGBH,MEANJZD,TOTUSJZ,MEANALP,MEANJZH,TOTUSJH,ABSNJZH,SAVNCPP,MEANPOT,TOTPOT,MEANSHR,SHRGT45,ERRVF,ERRGAM,ERRBT,ERRBZ,ERRBH,ERRJZ,ERRUSI,ERRALP,ERRMIH,ERRTAI,ERRJHT,ERRMPOT,ERRTPOT,ERRMSHA
2012-03-06 05:00:00,5.549278e+22,51.46,86.966,103.662,58.576,0.04070597,82605910000000.0,-0.04732201,-0.02915765,5247.38,2105.619,76178790000000.0,16683.61,1.600125e+24,46.252,46.594,1.346679e+19,0.014,0.109,0.1,0.111,0.03325897,318986800000.0,0.00054724,0.00033726,24.355,1244243000000.0,10.33687,9.914091e+20,0.0
2012-03-06 06:00:00,5.507884e+22,51.379,88.277,106.278,59.646,0.03591776,82903560000000.0,-0.04527202,-0.02855999,5223.288,2008.624,71334370000000.0,16912.11,1.579614e+24,45.945,46.05,1.351245e+19,0.014,0.113,0.103,0.118,0.03543787,330994500000.0,0.00056824,0.00035866,25.225,1291191000000.0,10.70068,9.99458e+20,0.0
2012-03-06 07:00:00,5.343962e+22,51.405,90.157,108.418,61.407,0.01621641,81548700000000.0,-0.04714368,-0.03058744,5202.619,2043.15,73999010000000.0,17330.52,1.537425e+24,45.965,46.694,1.762924e+19,0.013,0.159,0.161,0.142,0.03945679,350029200000.0,0.00063696,0.00042333,28.277,1365512000000.0,16.79183,1.489637e+21,0.0
2012-03-06 08:00:00,5.33802e+22,52.042,88.435,104.979,59.862,-0.03518816,81012790000000.0,-0.04689036,-0.02876061,5057.384,1990.522,73665630000000.0,16665.1,1.531799e+24,46.681,47.641,1.263468e+19,0.012,0.107,0.098,0.11,0.03307791,304040900000.0,0.00058419,0.00035846,24.809,1186119000000.0,10.4133,9.571552e+20,0.0
2012-03-06 09:00:00,5.353995e+22,52.444,85.552,101.409,57.944,0.06153614,81720250000000.0,-0.04598142,-0.02603539,4878.772,1895.584,72793450000000.0,15758.52,1.52381e+24,46.948,48.256,1.280965e+19,0.011,0.104,0.096,0.105,0.03129328,302598400000.0,0.00059322,0.00033552,24.429,1180461000000.0,10.81611,1.045891e+21,0.0
2012-03-06 10:00:00,5.355826e+22,52.453,86.674,102.67,58.565,0.06782331,83195810000000.0,-0.04656829,-0.0264692,4883.317,1929.922,76060820000000.0,15682.88,1.5186e+24,47.024,47.765,1.349186e+19,0.012,0.11,0.101,0.109,0.03256916,315372800000.0,0.00065504,0.00037288,27.187,1230220000000.0,10.94875,1.060186e+21,0.0
2012-03-06 11:00:00,5.267791e+22,52.293,86.318,102.851,58.514,-0.01164408,80074770000000.0,-0.04685237,-0.02735068,4813.472,1920.674,71992630000000.0,15898.87,1.482759e+24,46.748,47.507,1.28902e+19,0.012,0.111,0.099,0.114,0.03390131,316170000000.0,0.00062568,0.00036556,25.671,1233220000000.0,10.80486,1.007682e+21,0.0
2012-03-06 12:00:00,5.152514e+22,52.767,86.106,102.966,58.742,0.03088085,80494390000000.0,-0.04952974,-0.02895705,4848.189,1991.0,73707830000000.0,16174.53,1.476955e+24,47.244,48.903,1.338495e+19,0.012,0.117,0.106,0.116,0.03447183,314774900000.0,0.00071023,0.0004154,28.562,1227643000000.0,12.87579,1.175736e+21,0.0
2012-03-06 13:00:00,5.154778e+22,53.001,86.088,103.193,59.234,0.03832022,81598150000000.0,-0.04829996,-0.02784863,4834.182,1930.244,72471520000000.0,15953.38,1.46852e+24,47.481,49.108,1.283105e+19,0.011,0.117,0.103,0.121,0.03425172,315289500000.0,0.00063968,0.00036792,25.501,1229499000000.0,13.01417,1.197964e+21,0.0
2012-03-06 14:00:00,5.181683e+22,52.947,86.307,102.694,59.434,0.02374784,82479960000000.0,-0.05067992,-0.02909786,4913.931,2034.202,74586670000000.0,15751.35,1.462412e+24,47.33,48.791,1.229845e+19,0.011,0.107,0.095,0.111,0.03321682,308396800000.0,0.00061185,0.00035194,24.604,1202469000000.0,10.37037,9.628225e+20,0.0
2012-03-06 15:00:00,5.233734e+22,52.955,85.81,101.754,58.962,0.04721958,82432210000000.0,-0.05116391,-0.02903837,4892.547,2075.169,75465090000000.0,15538.2,1.47469e+24,47.156,48.499,1.478638e+19,0.012,0.127,0.123,0.114,0.03387604,321508500000.0,0.00082109,0.00047532,33.968,1253446000000.0,14.46915,1.373229e+21,0.0
2012-03-06 16:00:00,5.378435e+22,52.998,86.147,101.247,59.503,0.05198435,86251410000000.0,-0.05119975,-0.02812564,5108.902,2113.951,76164270000000.0,15136.87,1.51102e+24,47.287,48.743,1.58249e+19,0.012,0.131,0.123,0.126,0.03478692,347256200000.0,0.00083349,0.00045703,34.35,1353691000000.0,21.69043,2.165221e+21,0.0
2012-03-06 17:00:00,5.372901e+22,53.529,85.536,99.808,58.637,0.07153959,86266610000000.0,-0.05211752,-0.02790757,5065.524,2131.692,78957340000000.0,15124.28,1.534247e+24,47.974,50.011,1.317559e+19,0.011,0.107,0.096,0.11,0.03084963,312946900000.0,0.00074684,0.00040253,30.747,1219854000000.0,15.18931,1.540844e+21,0.0
2012-03-06 18:00:00,5.378581e+22,53.296,87.121,102.598,60.132,0.08698118,85816120000000.0,-0.05297092,-0.02958596,5187.029,2194.864,83369280000000.0,15821.28,1.558791e+24,47.654,49.978,1.390473e+19,0.011,0.117,0.107,0.119,0.03283911,323547200000.0,0.00080212,0.000449,33.309,1261119000000.0,17.59396,1.733444e+21,0.0
2012-03-06 19:00:00,5.341091e+22,53.084,90.859,108.642,61.958,0.14102469,84149360000000.0,-0.05109721,-0.03103497,5277.288,2168.724,76586780000000.0,16862.99,1.565038e+24,47.313,49.755,1.259722e+19,0.012,0.111,0.099,0.116,0.03402976,315827000000.0,0.00060974,0.0003698,25.842,1231019000000.0,12.24663,1.136598e+21,0.0
2012-03-06 20:00:00,5.51965e+22,53.105,90.674,108.295,61.723,0.04567992,89603690000000.0,-0.05203711,-0.03051601,5530.39,2262.213,77661540000000.0,16418.3,1.616457e+24,47.217,49.313,1.271248e+19,0.013,0.105,0.092,0.112,0.03345696,329399000000.0,0.00057708,0.00033867,25.106,1283961000000.0,9.645578,9.496512e+20,0.0
2012-03-06 21:00:00,5.601808e+22,53.305,89.16,105.584,60.064,0.05270424,89582340000000.0,-0.05288479,-0.02978092,5514.656,2303.971,81143260000000.0,15930.36,1.636814e+24,47.458,49.692,1.250611e+19,0.013,0.098,0.087,0.103,0.0309941,318458600000.0,0.00057536,0.00032423,25.084,1241402000000.0,9.047017,9.295641e+20,0.0
2012-03-06 22:00:00,5.565306e+22,53.405,88.988,105.585,60.766,0.08334198,89653410000000.0,-0.05359308,-0.03036878,5569.696,2316.5,77809510000000.0,16276.96,1.648887e+24,47.397,50.158,1.212014e+19,0.012,0.096,0.085,0.1,0.03019264,305857200000.0,0.00057395,0.00032546,24.825,1192403000000.0,9.058346,9.176276e+20,0.0
2012-03-06 23:00:00,5.559656e+22,53.563,91.143,107.58,62.146,0.0626532,89511650000000.0,-0.05187396,-0.03013399,5527.045,2263.876,79188220000000.0,16638.41,1.660091e+24,47.571,50.606,1.203636e+19,0.012,0.097,0.086,0.102,0.03082664,307571700000.0,0.00056271,0.00032707,24.572,1199247000000.0,9.252918,9.232065e+20,0.0
2012-03-07 00:00:00,5.569122e+22,53.325,93.037,110.013,63.635,0.00897911,90743500000000.0,-0.05149462,-0.03102283,5703.908,2281.76,76399680000000.0,16815.67,1.642582e+24,47.399,50.327,1.200953e+19,0.012,0.1,0.087,0.106,0.03201243,312702700000.0,0.00056205,0.00033879,24.919,1219440000000.0,9.254878,9.040317e+20,0.0
2012-03-07 01:00:00,5.556534e+22,52.869,96.213,113.451,65.754,0.05863295,91505210000000.0,-0.05429642,-0.0338119,5886.076,2419.14,82145780000000.0,17826.82,1.693909e+24,46.583,49.089,1.223268e+19,0.012,0.105,0.091,0.112,0.03388938,322017700000.0,0.0005811,0.00036208,25.906,1255973000000.0,9.965858,9.469582e+20,0.0
